special_ability_phases_tables	35
duration	effect_type	id	requested_stance	unbreakable	cant_move	freeze_fatigue	fatigue_change_ratio	inspiration_aura_range_mod	ability_recharge_change	hp_change_frequency	heal_amount_duplicate	damage_chance	damage_amount	max_damaged_entities	heal_amount	resurrect	mana_regen_mod	mana_max_depletion_mod	imbue_magical	imbue_ignition	imbue_contact	phase_display	phase_audio	recharge_time	is_hidden_in_ui	affects_allies	affects_enemies	replenish_ammo	composite_scene_group
48.0	positive	wh2_dlc09_army_abilities_rictus_clanstone		false	false	false	0.0	0.0	0.0	0.0	0	0.0	0	-1	0	false	0.0	0.0	false	0			wh2_main_ability_mors_clanstone	-1.0	false	true	true	0.0	
73.0	positive	wh2_dlc09_army_abilities_sand_veil		false	false	false	0.0	0.0	0.0	0.0	0	0.0	0	0	0	false	0.0	0.0	false	0		wh2_dlc09_army_abilities_sand_veil	wh2_dlc09_ability_sand_veil_one_shot	-1.0	false	true	true	0.0	
18.0	negative	wh2_dlc09_army_ability_tomb_swarm		false	false	false	0.0	0.0	0.0	1.0	0	0.18	9	18	0	false	0.0	0.0	false	0		wh2_dlc09_army_abilities_tomb_swarm	wh2_dlc09_ability_tmb_negative	-1.0	false	true	true	0.0	
-1.0	positive	wh2_dlc09_army_passive_realm_of_souls_ushabti_trigger		false	false	false	0.0	0.0	0.0	0.0	0	0.0	0	-1	0	false	0.0	0.0	false	0				-1.0	true	true	true	0.0	
22.0	negative	wh2_dlc09_character_abilities_curse_of_djaf		false	false	false	0.0	0.0	0.0	0.0	0	0.0	0	-1	0	false	0.0	0.0	false	0		wh2_dlc09_abilities_curse_of_djaf	wh2_dlc09_ability_curse_of_djaf	-1.0	false	true	true	0.0	
25.0	negative	wh2_dlc09_character_abilities_curse_of_khsar		false	false	false	0.0	0.0	0.0	0.0	0	0.0	0	-1	0	false	0.0	0.0	false	0		wh_main_generic_debuff_defence	wh2_dlc09_ability_tmb_negative	-1.0	false	true	true	0.0	
20.0	positive	wh2_dlc09_character_abilities_restore		false	false	false	0.0	0.0	0.0	0.5	24	0.0	0	-1	24	false	0.0	0.0	false	0		wh_main_generic_hp_regen	wh2_dlc09_ability_tmb_positive	-1.0	false	true	true	0.0	
31.0	positive	wh2_dlc09_character_abilities_stay_here_ill_get_help		false	false	false	0.0	0.0	0.0	0.0	0	0.0	0	-1	0	false	0.0	0.0	false	0		wh_main_generic_buff_morale	wh_ability_positive	-1.0	false	true	true	0.0	
31.0	positive	wh2_dlc09_character_abilities_stay_here_ill_get_help_miscast		false	false	false	0.0	0.0	0.0	0.0	0	0.0	0	-1	0	false	0.0	0.0	false	0		wh2_main_spell_ruin_skitterleap		-1.0	false	true	false	0.0	
27.0	positive	wh2_dlc09_character_abilities_strike_of_nagash		false	false	false	0.0	0.0	0.0	0.0	0	0.0	0	-1	0	false	0.0	0.0	false	0		wh_main_generic_buff_attack	wh_ability_positive	-1.0	false	true	true	0.0	
23.0	positive	wh2_dlc09_character_abilities_strike_of_nehekhara		false	false	false	0.0	0.0	0.0	0.0	0	0.0	0	-1	0	false	0.0	0.0	false	0		wh_main_generic_buff_attack	wh_ability_positive	-1.0	false	true	true	0.0	
23.0	positive	wh2_dlc09_character_abilities_strike_of_tombs		false	false	false	0.0	0.0	0.0	0.0	0	0.0	0	-1	0	false	0.0	0.0	false	0		wh_main_generic_buff_attack	wh_ability_positive	-1.0	false	true	true	0.0	
14.0	positive	wh2_dlc09_character_abilities_tomb_king_rally		false	false	false	0.0	0.0	0.0	0.0	0	0.0	0	-1	0	false	0.0	0.0	false	0		wh_main_generic_buff_morale	wh2_dlc09_ability_tmb_positive	-1.0	false	true	true	0.0	
10.0	positive	wh2_dlc09_character_abilities_tomb_king_rally_upgraded		false	false	false	0.0	0.0	0.0	0.5	24	0.0	0	-1	24	false	0.0	0.0	false	0		wh_main_generic_buff_morale	wh2_dlc09_ability_tmb_positive	-1.0	false	true	true	0.0	
23.0	negative	wh2_dlc09_character_passive_befalling_curse		false	false	false	0.18	0.0	0.0	1.0	0	0.18	6	18	0	false	0.0	0.0	false	0		wh2_dlc09_abilities_befalling_curse		-1.0	false	true	true	0.0	
-1.0	positive	wh2_dlc09_character_passive_blessing_of_asaph		false	false	false	0.0	0.0	0.0	0.0	0	0.0	0	-1	0	false	0.0	0.0	false	0		wh2_dlc09_abilities_blessing_of_asaph		-1.0	false	true	true	0.0	
-1.0	positive	wh2_dlc09_character_passive_stone_shaper		false	false	false	0.0	0.0	0.0	0.0	0	0.0	0	-1	0	false	0.0	0.0	false	0		wh_main_generic_buff_defence_passive		-1.0	false	true	true	0.0	
-1.0	positive	wh2_dlc09_character_passive_tretchs_raiders		false	false	false	0.0	0.0	0.0	0.0	0	0.0	0	-1	0	false	0.0	0.0	false	0		wh_main_generic_buff_attack_passive		-1.0	false	true	false	0.0	
-1.0	positive	wh2_dlc09_character_passive_true_blessing_of_asaph		false	false	false	0.0	0.0	0.0	0.0	0	0.0	0	-1	0	false	0.0	0.0	false	0		wh2_dlc09_abilities_blessing_of_asaph		-1.0	false	true	true	0.0	
-1.0	positive	wh2_dlc09_character_passive_unyielding_will		false	false	false	0.0	0.0	0.0	0.0	0	0.0	0	-1	0	false	0.0	0.0	false	0		wh_main_generic_buff_attack_passive		-1.0	false	true	true	0.0	
-1.0	positive	wh2_dlc09_character_passive_wrath_of_the_creator		false	false	false	0.0	0.0	0.0	0.0	0	0.0	0	-1	0	false	0.0	0.0	false	0		wh_main_generic_buff_attack_passive		-1.0	false	true	true	0.0	
7.0	positive	wh2_dlc09_faction_passive_realm_of_souls_tier_1		false	false	false	0.0	0.0	0.0	0.5	8	0.0	0	-1	8	true	0.0	0.0	false	0		wh2_dlc09_abilities_realm_of_souls_tier_1	wh2_dlc09_ability_tmb_positive	-1.0	false	true	false	0.0	
14.0	positive	wh2_dlc09_faction_passive_realm_of_souls_tier_2		false	false	false	0.0	0.0	0.0	0.5	8	0.0	0	-1	8	true	0.0	0.0	false	0		wh2_dlc09_abilities_realm_of_souls_tier_2	wh2_dlc09_ability_tmb_positive	-1.0	false	true	false	0.0	
